序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
1,YONEX 天斧 77 Pro,YONEX ASTROX 77 PRO,YONEX,尤尼克斯,ASTROX 77 PRO,YONEX ASTROX 77 PRO,YONEX 天斧 77 Pro；YONEX ASTROX 77 PRO；天斧,1100,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-77-PRO,YONEX ASTROX 77 PRO,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
2,李宁 战戟 6000,LI-NING HALBERTEC 6000,LI-NING,李宁,HALBERTEC 6000,LI-NING HALBERTEC 6000,李宁 战戟 6000；LI-NING HALBERTEC 6000；战戟,680,参考价，非实时成交价；本系统不做交易、库存或下单判断,LI-NING-HALBERTEC-6000,LI-NING HALBERTEC 6000,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
3,VICTOR 极速 JS-12,VICTOR JETSPEED S 12,VICTOR,胜利,JETSPEED S 12,VICTOR JETSPEED S 12,VICTOR 极速 JS-12；VICTOR JETSPEED S 12；JS-12；极速,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,VICTOR-JETSPEED-S-12,VICTOR JETSPEED S 12,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
4,川崎 入门均衡拍,KAWASAKI 入门均衡拍,KAWASAKI,川崎,入门均衡拍,KAWASAKI 入门均衡拍,川崎 入门均衡拍,260,参考价，非实时成交价；本系统不做交易、库存或下单判断,KAWASAKI-,KAWASAKI 入门均衡拍,清单新增记录,已按清单价新增到知识库,YES,NO,原知识库无对应记录，本版按清单新增最小商品记录,已新增到知识库；仅作为商品线索，不进入首推
5,NANORAY TS3 锐速TS3 NR,YONEX NANORAY TS3,YONEX,尤尼克斯,NANORAY TS3,YONEX NANORAY TS3,NANORAY TS3 锐速TS3 NR；YONEX NANORAY TS3；TS3；锐速,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-TS3,YONEX NANORAY TS3,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
6,NANORAY X3 NRX3 锐速X3 锐速系列,YONEX NANORAY X3,YONEX,尤尼克斯,NANORAY X3,YONEX NANORAY X3,NANORAY X3 NRX3 锐速X3 锐速系列；YONEX NANORAY X3；X3；NRX3；锐速,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-X3,YONEX NANORAY X3,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
7,NANORAY Z SPEED BP NRZSPBP 锐速系列,YONEX NANORAY Z SPEED BP,YONEX,尤尼克斯,NANORAY Z SPEED BP,YONEX NANORAY Z SPEED BP,NANORAY Z SPEED BP NRZSPBP 锐速系列；YONEX NANORAY Z SPEED；锐速,680,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-Z-SPEED,YONEX NANORAY Z SPEED,可按基准型号对应,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
8,NANORAY Z SPEED 亮橙 锐速ZSP NRZSP NR,YONEX NANORAY Z SPEED,YONEX,尤尼克斯,NANORAY Z SPEED,YONEX NANORAY Z SPEED,NANORAY Z SPEED 亮橙 锐速ZSP NRZSP NR；YONEX NANORAY Z SPEED；锐速,680,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-Z-SPEED,YONEX NANORAY Z SPEED,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
9,NANORAY Z SPEED 黄色 锐速ZSP NR,YONEX NANORAY Z SPEED,YONEX,尤尼克斯,NANORAY Z SPEED,YONEX NANORAY Z SPEED,NANORAY Z SPEED 黄色 锐速ZSP NR；YONEX NANORAY Z SPEED；锐速,680,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-Z-SPEED,YONEX NANORAY Z SPEED,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
10,Nanoray Areion NRAreion 锐速Areion 锐速系列,YONEX NANORAY AREION,YONEX,尤尼克斯,NANORAY AREION,YONEX NANORAY AREION,Nanoray Areion NRAreion 锐速Areion 锐速系列；YONEX NANORAY AREION；锐速,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANORAY-AREION,YONEX NANORAY AREION,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
11,MUSCLE POWER 2 JR 21MP2JRGE 青少年系列,YONEX MUSCLE POWER 2 JR,YONEX,尤尼克斯,MUSCLE POWER 2 JR,YONEX MUSCLE POWER 2 JR,MUSCLE POWER 2 JR 21MP2JRGE 青少年系列；YONEX MUSCLE POWER 2 JR；POWER2；JR21MP2JRGE,180,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2-JR,YONEX MUSCLE POWER 2 JR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
12,AEROTUS 80 LONG AEROTUS80L,YONEX AEROTUS 80 LONG,YONEX,尤尼克斯,AEROTUS 80 LONG,YONEX AEROTUS 80 LONG,AEROTUS 80 LONG AEROTUS80L；YONEX AEROTUS 80 LONG；AEROTUS80；AEROTUS80L,480,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-80-LONG,YONEX AEROTUS 80 LONG,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
13,ARCSABER 1 ABILITY ARC1ABILITY 弓剑1ABILITY 弓箭1ABILITY,YONEX ARCSABER 1 ABILITY,YONEX,尤尼克斯,ARCSABER 1 ABILITY,YONEX ARCSABER 1 ABILITY,ARCSABER 1 ABILITY ARC1ABILITY 弓剑1ABILITY 弓箭1ABILITY；YONEX ARCSABER 1 ABILITY；ARCSABER1；ARC1ABILITY；弓剑；弓箭,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-1-ABILITY,YONEX ARCSABER 1 ABILITY,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
14,ARCSABER 1 CLEAR,YONEX ARCSABER 1 CLEAR,YONEX,尤尼克斯,ARCSABER 1 CLEAR,YONEX ARCSABER 1 CLEAR,ARCSABER 1 CLEAR；YONEX ARCSABER 1 CLEAR；ARCSABER1,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-1-CLEAR,YONEX ARCSABER 1 CLEAR,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
15,ARCSABER 11 泰国皇室 弓剑11泰国皇室 ARC11泰国皇室 ARC,YONEX ARCSABER 11,YONEX,尤尼克斯,ARCSABER 11,YONEX ARCSABER 11,ARCSABER 11 泰国皇室 弓剑11泰国皇室 ARC11泰国皇室 ARC；YONEX ARCSABER 11；ARCSABER11；弓剑,3200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-11,YONEX ARCSABER 11,精确对应,已对应（在知识库价格范围内）,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
16,ARCSABER Ability 弓剑0Ability ARC0Ability,YONEX ARCSABER ABILITY,YONEX,尤尼克斯,ARCSABER ABILITY,YONEX ARCSABER ABILITY,ARCSABER Ability 弓剑0Ability ARC0Ability；YONEX ARCSABER ABILITY；ARC0ABILITY；弓剑,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-ABILITY,YONEX ARCSABER ABILITY,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
17,ARCSABER FEEL 弓剑0FEEL ARC0FEEL,YONEX ARCSABER FEEL,YONEX,尤尼克斯,ARCSABER FEEL,YONEX ARCSABER FEEL,ARCSABER FEEL 弓剑0FEEL ARC0FEEL；YONEX ARCSABER FEEL；ARC0FEEL；弓剑,350,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-FEEL,YONEX ARCSABER FEEL,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
18,ARCSABER X7 弓剑X7 ARC,YONEX ARCSABER X7,YONEX,尤尼克斯,ARCSABER X7,YONEX ARCSABER X7,ARCSABER X7 弓剑X7 ARC；YONEX ARCSABER X7；X7；弓剑,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARCSABER-X7,YONEX ARCSABER X7,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
19,ASTROX 100ZZ,YONEX ASTROX 100ZZ,YONEX,尤尼克斯,ASTROX 100ZZ,YONEX ASTROX 100ZZ,ASTROX 100ZZ；YONEX ASTROX 100ZZ；ASTROX100ZZ,1930,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-100ZZ,YONEX ASTROX 100ZZ,精确对应,已对应,YES,NO,安全自动同步,已自动标准化；参考价同步到知识库
20,ASTROX 88D PRO BP 88DPROBP 天斧88DPROBP 88DPRO日本限定,YONEX ASTROX 88D PRO,YONEX,尤尼克斯,ASTROX 88D PRO,YONEX ASTROX 88D PRO,ASTROX 88D PRO BP 88DPROBP 天斧88DPROBP 88DPRO日本限定；YONEX ASTROX 88D PRO；ASTROX88D；BP88DPROBP；天斧,1850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88D-PRO,YONEX ASTROX 88D PRO,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
21,ASTROX 88D TOUR BP 88DTOURBP 3AX88DTOURBP,YONEX ASTROX 88D TOUR,YONEX,尤尼克斯,ASTROX 88D TOUR,YONEX ASTROX 88D TOUR,ASTROX 88D TOUR BP 88DTOURBP 3AX88DTOURBP；YONEX ASTROX 88D TOUR；ASTROX88D；BP88DTOURBP,980,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-88D-TOUR,YONEX ASTROX 88D TOUR,低置信对应-需人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
