序号,raw_name,standard_name,knowledge_record_id,knowledge_name,清单原参考价,知识库原参考价,清单均值,知识库均值,平均覆盖价,原价格状态,处理
1137,AirStream N99 AYPL024 Lining 风动导流,LI-NING AERONAUT 4000B 风动4000B AERONAUT4000B,LI-NING-AERONAUT-4000B-风动4000B-AERONAUT4000B,LI-NING AERONAUT 4000B 风动4000B AERONAUT4000B,750,¥880,750,880,815,价格不同（知识库¥880）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
1069,锋影900MAX月 AYPT027 AYPT025 BLADEX900MAX月 锋影900MAX 锋影900月 Lining 锋影系列,LI-NING BLADEX 900 SUN MAX,LI-NING-BLADEX-900,LI-NING BLADEX 900 SUN MAX,1780,¥1780,1780,1780,1780,价格不同（知识库¥1880）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
998,N9 Lining 超导纳米系列,LI-NING TB NANO 270 TB270,LI-NING-TB-NANO-270-TB270,LI-NING TB NANO 270 TB270,1680,¥380,1680,380,1030,价格不同（知识库¥380）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
1008,TB NANO N10 AYPF292 Lining 超导纳米系列,LI-NING TB-NANO N10,LI-NING-TB-NANO-N10,LI-NING TB-NANO N10,380,¥320,380,320,350,价格不同（知识库¥320）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
982,Turbo Charging N7 Ⅱ LIHB,LI-NING TURBOCHARGING N7,LI-NING-TURBO-CHARGING-N7,LI-NING TURBOCHARGING N7,650,¥650–¥1680,856,1165,1010,价格不同（知识库¥980）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
983,Turbo Charging N7 Ⅱ Light 墨绿 AYPM212 N72 Lining 能量聚合,LI-NING TURBOCHARGING N7,LI-NING-TURBO-CHARGING-N7,LI-NING TURBOCHARGING N7,650,¥650–¥1680,856,1165,1010,价格不同（知识库¥980）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
984,Turbo Charging N7 Ⅱ 亨德拉 N72 AYPM196,LI-NING TURBOCHARGING N7,LI-NING-TURBO-CHARGING-N7,LI-NING TURBOCHARGING N7,650,¥650–¥1680,856,1165,1010,价格不同（知识库¥980）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
985,Turbo Charging N7 Ⅱ 幻彩紫 AYPM028 N72 TCN7 Lining 能量聚合,LI-NING TURBOCHARGING N7,LI-NING-TURBO-CHARGING-N7,LI-NING TURBOCHARGING N7,650,¥650–¥1680,856,1165,1010,价格不同（知识库¥980）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
986,Turbo Charging N7 Ⅱ 能量N72 AYPL202 N72 N7二代 Lining 能量聚合,LI-NING TURBOCHARGING N7,LI-NING-TURBO-CHARGING-N7,LI-NING TURBOCHARGING N7,1680,¥650–¥1680,856,1165,1010,价格不同（知识库¥980）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
981,Turbo Charging N7 TD AYPL014 N7TD Lining 能量聚合,LI-NING TURBOCHARGING N7-TD,LI-NING-TURBO-CHARGING-N7-TD,LI-NING TURBOCHARGING N7-TD,650,¥980,650,980,815,价格不同（知识库¥980）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
894,Woods N90ⅡS,LI-NING WOODS N90,LI-NING-WOODS-N90,LI-NING WOODS N90,280,¥350–¥2380（按价格清单同型号/不同版本价格范围对齐）,280,1365,822,价格不同（不在350–2380范围）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
413,ASTROX 99 BP 99BP AX99BP 天斧99BP 天斧系列,YONEX ARCSABER 9BP,YONEX-ARCSABER-9BP,YONEX ARCSABER 9BP,1680,¥900,1190,900,1045,价格不同（知识库¥900）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
591,ARCSABER FB BP 弓剑FBBP ARCFBBP 弓剑系列,YONEX ARCSABER 9BP,YONEX-ARCSABER-9BP,YONEX ARCSABER 9BP,700,¥900,1190,900,1045,价格不同（知识库¥900）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
437,ASTROX NEXTAGE 天斧NEXTAGE AXNEXTAGE 天斧NA AXNT 天斧黑切 黑切 ASTROXNEXTAGE AXNTEX 天斧系列,YONEX ASTROX,YONEX-ASTROX,YONEX ASTROX,1180,¥350–¥600（按价格清单同型号/不同版本价格范围对齐）,1213,475,844,价格不同（不在350–600范围）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
438,ASTROX NEXTAGE 银色 天斧NT AXNT AXNEXTAGE 银切 天斧系列,YONEX ASTROX,YONEX-ASTROX,YONEX ASTROX,1180,¥350–¥600（按价格清单同型号/不同版本价格范围对齐）,1213,475,844,价格不同（不在350–600范围）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
442,ASTROX SV 藏青色 天斧SV新色 AXSV新色 天斧系列,YONEX ASTROX,YONEX-ASTROX,YONEX ASTROX,1280,¥350–¥600（按价格清单同型号/不同版本价格范围对齐）,1213,475,844,价格不同（不在350–600范围）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
251,NANOSPEED 9000 Type S NS9000S NS系列,YONEX ASTROX 9000S,YONEX-ASTROX-9000S,YONEX ASTROX 9000S,850,¥1800,850,1800,1325,价格不同（知识库¥1800）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
78,CAB系列,YONEX CAB,YONEX-CAB,YONEX CAB,400,¥750,400,750,575,价格不同（知识库¥750）,已用清单均值与知识库均值取平均，并覆盖清单与知识库
