id,group,score,answer_keypoints,forbidden_content,source_hit,product_hit,format,forbidden_hits,answer_chars,ok,status_code
R001,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],106,True,200
R002,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],101,True,200
R003,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],103,True,200
R004,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],73,True,200
R005,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],690,True,200
R006,routing,0.8,1.0,1.0,0.0,1.0,1.0,[],1199,True,200
P001,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1165,True,200
P002,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1078,True,200
P003,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1539,True,200
P004,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1028,True,200
P005,parameter,0.975,1.0,1.0,0.75,1.0,1.0,[],1784,True,200
P006,parameter,0.875,0.75,1.0,1.0,1.0,1.0,[],969,True,200
P007,parameter,0.55,0.5,1.0,0.0,1.0,1.0,[],324,True,200
P008,parameter,0.55,0.5,1.0,0.0,1.0,1.0,[],250,True,200
REC001,recommendation,0.85,1.0,1.0,0.25,1.0,1.0,[],1460,True,200
REC002,recommendation,0.7,0.8,1.0,0.25,1.0,0.0,[],978,True,200
REC003,recommendation,0.85,1.0,1.0,0.5,1.0,0.0,[],998,True,200
REC004,recommendation,0.8,0.8,1.0,0.5,1.0,1.0,[],1800,True,200
REC005,recommendation,0.8,1.0,1.0,0.25,1.0,0.0,[],1038,True,200
REC006,recommendation,0.475,0.25,1.0,0.75,0.0,0.0,[],653,True,200
REC007,recommendation,0.7,0.6,1.0,0.5,1.0,1.0,[],1137,True,200
REC008,recommendation,0.725,0.75,1.0,0.25,1.0,1.0,[],694,True,200
REC009,recommendation,0.475,0.75,0.0,0.5,1.0,0.0,"[""最强""]",630,True,200
REC010,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1768,True,200
REC011,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1545,True,200
REC012,recommendation,0.8,1.0,1.0,0.25,1.0,0.0,[],1230,True,200
REC013,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1679,True,200
REC014,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1337,True,200
CMP001,comparison,0.7667,0.8,1.0,0.3333,1.0,1.0,[],1677,True,200
CMP002,comparison,0.8,1.0,1.0,0.0,1.0,1.0,[],1767,True,200
CMP003,comparison,0.625,0.75,1.0,0.0,1.0,0.0,[],329,True,200
CMP004,comparison,0.5667,0.4,1.0,0.3333,1.0,1.0,[],1858,True,200
CMP005,comparison,0.7667,0.8,1.0,0.3333,1.0,1.0,[],1351,True,200
CMP006,comparison,0.7167,0.8,1.0,0.3333,1.0,0.0,[],1233,True,200
CMP007,comparison,0.75,1.0,1.0,0.0,1.0,0.0,[],874,True,200
CMP008,comparison,0.65,0.8,1.0,0.0,1.0,0.0,[],973,True,200
CMP009,comparison,0.625,0.75,1.0,0.0,1.0,0.0,[],950,True,200
CMP010,comparison,0.6167,0.6,1.0,0.3333,1.0,0.0,[],1018,True,200
CMP011,comparison,0.8167,1.0,1.0,0.3333,1.0,0.0,[],1287,True,200
CMP012,comparison,0.8167,1.0,1.0,0.3333,1.0,0.0,[],1295,True,200
G001,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1900,True,200
G002,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],738,True,200
G003,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1330,True,200
G004,general_training_safety,0.5,0.0,1.0,1.0,1.0,1.0,[],955,True,200
G005,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1144,True,200
G006,general_training_safety,0.7,0.8,1.0,0.0,1.0,1.0,[],700,True,200
G007,general_training_safety,0.9,0.8,1.0,1.0,1.0,1.0,[],614,True,200
G008,general_training_safety,0.625,0.25,1.0,1.0,1.0,1.0,[],603,True,200
G009,general_training_safety,0.7417,0.75,1.0,0.3333,1.0,1.0,[],137,True,200
G010,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1205,True,200
U001,grounding_policy,0.725,0.75,1.0,0.25,1.0,1.0,[],1509,True,200
U002,grounding_policy,0.8,1.0,1.0,0.0,1.0,1.0,[],103,True,200
U003,grounding_policy,0.725,0.75,1.0,0.25,1.0,1.0,[],395,True,200
U004,grounding_policy,0.475,0.75,0.0,0.25,1.0,1.0,"[""闭眼入""]",703,True,200
U005,grounding_policy,0.725,0.75,1.0,0.25,1.0,1.0,[],217,True,200
U006,grounding_policy,0.8,1.0,1.0,0.0,1.0,1.0,[],136,True,200
U007,grounding_policy,0.6,0.5,1.0,0.25,1.0,1.0,[],1249,True,200
U008,grounding_policy,0.475,0.25,1.0,0.25,1.0,1.0,[],1246,True,200
F001,product_fact,0.725,0.5,1.0,0.6667,1.0,1.0,[],1560,True,200
F002,product_fact,0.675,0.5,1.0,0.3333,1.0,1.0,[],1132,True,200
F003,product_fact,0.68,0.4,1.0,0.6667,1.0,1.0,[],625,True,200
F004,recommendation,0.98,1.0,1.0,0.8,1.0,1.0,[],1716,True,200
F005,recommendation,0.9667,1.0,1.0,0.6667,1.0,1.0,[],1532,True,200
F006,recommendation,0.71,0.6,1.0,0.8,1.0,0.0,[],625,True,200
